210=강원도 강릉시|강릉
219=강원도 고성군|속초
240=강원도 동해시|동해
245=강원도 동해시|동해
240=강원도 동해시|동해
245=강원도 삼척시|삼척
217=강원도 속초시|속초
219=강원도 속초시|속초
217=강원도 속초시|속초
255=강원도 양구군|철원
215=강원도 양양군|속초
230=강원도 영월군|영월
233=강원도 영월군|영월
230=강원도 영월군|영월
233=강원도 영월군|영월
230=강원도 영월군|영월
220=강원도 원주시|원주
252=강원도 인제군|속초
250=강원도 인제군|속초
252=강원도 인제군|속초
250=강원도 인제군|속초
252=강원도 인제군|속초
250=강원도 인제군|속초
252=강원도 인제군|속초
233=강원도 정선군|영월
269=강원도 철원군|철원
487=강원도 철원군|철원
269=강원도 철원군|철원
487=강원도 철원군|철원
269=강원도 철원군|철원
209=강원도 철원군|철원
269=강원도 철원군|철원
209=강원도 철원군|철원
269=강원도 철원군|철원
209=강원도 철원군|철원
269=강원도 철원군|철원
487=강원도 철원군|철원
269=강원도 철원군|철원
487=강원도 철원군|철원
269=강원도 철원군|철원
487=강원도 철원군|철원
269=강원도 철원군|철원
487=강원도 철원군|철원
269=강원도 철원군|철원
487=강원도 철원군|철원
269=강원도 철원군|철원
487=강원도 철원군|철원
269=강원도 철원군|철원
487=강원도 철원군|철원
269=강원도 철원군|철원
487=강원도 철원군|철원
269=강원도 철원군|철원
200=강원도 춘천시|춘천
250=강원도 춘천시|춘천
200=강원도 춘천시|춘천
250=강원도 춘천시|춘천
200=강원도 춘천시|춘천
209=강원도 춘천시|춘천
250=강원도 춘천시|춘천
209=강원도 춘천시|춘천
250=강원도 춘천시|춘천
209=강원도 춘천시|춘천
200=강원도 춘천시|춘천
209=강원도 춘천시|춘천
200=강원도 춘천시|춘천
209=강원도 춘천시|춘천
200=강원도 춘천시|춘천
235=강원도 태백시|태백
232=강원도 평창군|대관령
250=강원도 홍천군|홍천
209=강원도 화천군|철원
225=강원도 횡성군|횡성
477=경기도 가평군|가평
412=경기도 고양시 덕양구|파주
410=경기도 고양시 덕양구|파주
412=경기도 고양시 덕양구|파주
410=경기도 고양시 일산동구|파주
411=경기도 고양시 일산서구|파주
423=경기도 광명시|서울
464=경기도 광주시|서울
471=경기도 구리시|서울
435=경기도 군포시|수원
415=경기도 김포시|인천
472=경기도 남양주시|파주
480=경기도 남양주시|파주
472=경기도 남양주시|파주
476=경기도 남양주시|파주
472=경기도 남양주시|파주
480=경기도 남양주시|파주
472=경기도 남양주시|파주
483=경기도 동두천시|동두천
482=경기도 동두천시|동두천
483=경기도 동두천시|동두천
482=경기도 동두천시|동두천
483=경기도 동두천시|동두천
486=경기도 동두천시|동두천
482=경기도 동두천시|동두천
483=경기도 동두천시|동두천
422=경기도 부천시 소사구|인천
421=경기도 부천시 오정구|인천
420=경기도 부천시 원미구|인천
463=경기도 성남시 분당구|서울
461=경기도 성남시 수정구|서울
462=경기도 성남시 중원구|서울
441=경기도 수원시 권선구|수원
443=경기도 수원시 영통구|수원
440=경기도 수원시 장안구|수원
442=경기도 수원시 팔달구|수원
429=경기도 시흥시|인천
425=경기도 안산시 단원구|인천
426=경기도 안산시 상록구|인천
456=경기도 안성시|수원
431=경기도 안양시 동안구|서울
430=경기도 안양시 만안구|서울
482=경기도 양주시|파주
487=경기도 양주시|파주
482=경기도 양주시|파주
480=경기도 양주시|파주
482=경기도 양주시|파주
487=경기도 양주시|파주
482=경기도 양주시|파주
480=경기도 양주시|파주
482=경기도 양주시|파주
487=경기도 양주시|파주
482=경기도 양주시|파주
487=경기도 양주시|파주
482=경기도 양주시|파주
412=경기도 양주시|파주
482=경기도 양주시|파주
476=경기도 양평군|가평
469=경기도 여주군|가평
476=경기도 여주군|가평
469=경기도 여주군|가평
476=경기도 여주군|가평
469=경기도 여주군|가평
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
487=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
482=경기도 연천군|동두천
487=경기도 연천군|동두천
480=경기도 연천군|동두천
482=경기도 연천군|동두천
486=경기도 연천군|동두천
447=경기도 오산시|수원
446=경기도 용인시 기흥구|수원
448=경기도 용인시 수지구|수원
449=경기도 용인시 처인구|수원
437=경기도 의왕시|수원
480=경기도 의정부시|파주
467=경기도 이천시|수원
413=경기도 파주시|파주
410=경기도 파주시|파주
413=경기도 파주시|파주
410=경기도 파주시|파주
413=경기도 파주시|파주
410=경기도 파주시|파주
413=경기도 파주시|파주
412=경기도 파주시|파주
413=경기도 파주시|파주
410=경기도 파주시|파주
413=경기도 파주시|파주
482=경기도 파주시|파주
413=경기도 파주시|파주
412=경기도 파주시|파주
410=경기도 파주시|파주
413=경기도 파주시|파주
482=경기도 파주시|파주
413=경기도 파주시|파주
482=경기도 파주시|파주
413=경기도 파주시|파주
482=경기도 파주시|파주
413=경기도 파주시|파주
482=경기도 파주시|파주
413=경기도 파주시|파주
482=경기도 파주시|파주
413=경기도 파주시|파주
482=경기도 파주시|파주
413=경기도 파주시|파주
410=경기도 파주시|파주
413=경기도 파주시|파주
410=경기도 파주시|파주
413=경기도 파주시|파주
482=경기도 파주시|파주
413=경기도 파주시|파주
459=경기도 평택시|수원
451=경기도 평택시|수원
450=경기도 평택시|수원
451=경기도 평택시|수원
450=경기도 평택시|수원
459=경기도 평택시|수원
450=경기도 평택시|수원
459=경기도 평택시|수원
450=경기도 평택시|수원
459=경기도 평택시|수원
451=경기도 평택시|수원
450=경기도 평택시|수원
459=경기도 평택시|수원
451=경기도 평택시|수원
450=경기도 평택시|수원
459=경기도 평택시|수원
450=경기도 평택시|수원
459=경기도 평택시|수원
450=경기도 평택시|수원
451=경기도 평택시|수원
450=경기도 평택시|수원
451=경기도 평택시|수원
459=경기도 평택시|수원
450=경기도 평택시|수원
451=경기도 평택시|수원
450=경기도 평택시|수원
451=경기도 평택시|수원
450=경기도 평택시|수원
451=경기도 평택시|수원
450=경기도 평택시|수원
459=경기도 평택시|수원
487=경기도 포천시|동두천
480=경기도 포천시|동두천
487=경기도 포천시|동두천
480=경기도 포천시|동두천
487=경기도 포천시|동두천
482=경기도 포천시|동두천
480=경기도 포천시|동두천
487=경기도 포천시|동두천
480=경기도 포천시|동두천
487=경기도 포천시|동두천
486=경기도 포천시|동두천
487=경기도 포천시|동두천
465=경기도 하남시|서울
445=경기도 화성시|수원
656=경상남도 거제시|통영시
670=경상남도 거창군|진주
638=경상남도 고성군|통영
621=경상남도 김해시|창원
668=경상남도 남해군|통영시
627=경상남도 밀양시|진주
664=경상남도 사천시|통영시
666=경상남도 산청군|진주
626=경상남도 양산시|부산
636=경상남도 의령군|진주
660=경상남도 진주시|진주
635=경상남도 창녕군|진주
631=경상남도 창원시 마산합포구|마산
630=경상남도 창원시 마산회원구|마산
642=경상남도 창원시 성산구|창원
641=경상남도 창원시 의창구|창원
645=경상남도 창원시 진해구|창원
650=경상남도 통영시|통영
667=경상남도 하동군|통영시
637=경상남도 함안군|진주
676=경상남도 함양군|진주
678=경상남도 합천군|진주
712=경상북도 경산시|대구
780=경상북도 경주시|경주
717=경상북도 고령군|대구
730=경상북도 구미시|대구
716=경상북도 군위군|대구
740=경상북도 김천시|추풍령
745=경상북도 문경시|상주
755=경상북도 봉화군|안동
742=경상북도 상주시|상주
719=경상북도 성주군|대구
760=경상북도 안동시|안동
766=경상북도 영덕군|포항
764=경상북도 영양군|안동
750=경상북도 영주시|안동
770=경상북도 영천시|대구
757=경상북도 예천군|상주
799=경상북도 울릉군|울릉도
767=경상북도 울진군|울진
769=경상북도 의성군|안동
714=경상북도 청도군|대구
763=경상북도 청송군|안동
718=경상북도 칠곡군|대구
790=경상북도 포항시 남구|포항
791=경상북도 포항시 북구|포항
506=광주광역시 광산구|광주
503=광주광역시 남구|광주
501=광주광역시 동구|광주
500=광주광역시 북구|광주
502=광주광역시 서구|광주
705=대구광역시 남구|대구
704=대구광역시 달서구|대구
711=대구광역시 달성군|대구
701=대구광역시 동구|대구
702=대구광역시 북구|대구
703=대구광역시 서구|대구
706=대구광역시 수성구|대구
700=대구광역시 중구|대구
306=대전광역시 대덕구|대전
300=대전광역시 동구|대전
302=대전광역시 서구|대전
305=대전광역시 유성구|대전
301=대전광역시 중구|대전
618=부산광역시 강서구|부산
609=부산광역시 금정구|부산
619=부산광역시 기장군|부산
608=부산광역시 남구|부산
601=부산광역시 동구|부산
607=부산광역시 동래구|부산
614=부산광역시 부산진구|부산
616=부산광역시 북구|부산
617=부산광역시 사상구|부산
604=부산광역시 사하구|부산
602=부산광역시 서구|부산
613=부산광역시 수영구|부산
611=부산광역시 연제구|부산
606=부산광역시 영도구|부산
600=부산광역시 중구|부산
612=부산광역시 해운대구|부산
135=서울특별시 강남구|서울
134=서울특별시 강동구|서울
142=서울특별시 강북구|서울
157=서울특별시 강서구|서울
151=서울특별시 관악구|서울
143=서울특별시 광진구|서울
152=서울특별시 구로구|서울
153=서울특별시 금천구|서울
139=서울특별시 노원구|서울
132=서울특별시 도봉구|서울
130=서울특별시 동대문구|서울
156=서울특별시 동작구|서울
121=서울특별시 마포구|서울
120=서울특별시 서대문구|서울
137=서울특별시 서초구|서울
133=서울특별시 성동구|서울
136=서울특별시 성북구|서울
138=서울특별시 송파구|서울
158=서울특별시 양천구|서울
150=서울특별시 영등포구|서울
140=서울특별시 용산구|서울
122=서울특별시 은평구|서울
412=서울특별시 은평구|서울
122=서울특별시 은평구|서울
110=서울특별시 종로구|서울
100=서울특별시 중구|서울
131=서울특별시 중랑구|서울
680=울산광역시 남구|울산
682=울산광역시 동구|울산
683=울산광역시 북구|울산
689=울산광역시 울주군|울산
681=울산광역시 중구|울산
417=인천광역시 강화군|인천
407=인천광역시 계양구|인천
402=인천광역시 남구|인천
405=인천광역시 남동구|인천
401=인천광역시 동구|인천
403=인천광역시 부평구|인천
404=인천광역시 서구|인천
406=인천광역시 연수구|인천
409=인천광역시 옹진군|인천
400=인천광역시 중구|인천
527=전라남도 강진군|진도
548=전라남도 고흥군|여수
516=전라남도 곡성군|광주
545=전라남도 광양시|여수
542=전라남도 구례군|광주
520=전라남도 나주시|광주
517=전라남도 담양군|광주
530=전라남도 목포시|목포
534=전라남도 무안군|목포
546=전라남도 보성군|여수
540=전라남도 순천시|여수
535=전라남도 신안군|흑산도
530=전라남도 신안군|흑산도
535=전라남도 신안군|흑산도
550=전라남도 여수시|여수
555=전라남도 여수시|여수
556=전라남도 여수시|여수
550=전라남도 여수시|여수
556=전라남도 여수시|여수
550=전라남도 여수시|여수
556=전라남도 여수시|여수
550=전라남도 여수시|여수
555=전라남도 여수시|여수
550=전라남도 여수시|여수
555=전라남도 여수시|여수
550=전라남도 여수시|여수
556=전라남도 여수시|여수
555=전라남도 여수시|여수
550=전라남도 여수시|여수
555=전라남도 여수시|여수
556=전라남도 여수시|여수
555=전라남도 여수시|여수
550=전라남도 여수시|여수
555=전라남도 여수시|여수
550=전라남도 여수시|여수
555=전라남도 여수시|여수
550=전라남도 여수시|여수
555=전라남도 여수시|여수
550=전라남도 여수시|여수
555=전라남도 여수시|여수
556=전라남도 여수시|여수
555=전라남도 여수시|여수
550=전라남도 여수시|여수
555=전라남도 여수시|여수
550=전라남도 여수시|여수
555=전라남도 여수시|여수
556=전라남도 여수시|여수
555=전라남도 여수시|여수
550=전라남도 여수시|여수
555=전라남도 여수시|여수
556=전라남도 여수시|여수
555=전라남도 여수시|여수
556=전라남도 여수시|여수
555=전라남도 여수시|여수
550=전라남도 여수시|여수
513=전라남도 영광군|목포
526=전라남도 영암군|진도
537=전라남도 완도군|완도
527=전라남도 완도군|완도
537=전라남도 완도군|완도
536=전라남도 완도군|완도
537=전라남도 완도군|완도
536=전라남도 완도군|완도
537=전라남도 완도군|완도
548=전라남도 완도군|완도
537=전라남도 완도군|완도
548=전라남도 완도군|완도
537=전라남도 완도군|완도
536=전라남도 완도군|완도
537=전라남도 완도군|완도
515=전라남도 장성군|광주
529=전라남도 장흥군|진도
539=전라남도 진도군|진도
525=전라남도 함평군|목포
536=전라남도 해남군|진도
519=전라남도 화순군|광주
585=전라북도 고창군|고창
579=전라북도 고창군|고창
585=전라북도 고창군|고창
573=전라북도 군산시|군산
576=전라북도 김제시|군산
590=전라북도 남원시|순창
568=전라북도 무주군|무주
579=전라북도 부안군|고창
595=전라북도 순창군|순창
565=전라북도 완주군|전주
570=전라북도 익산시|전주
566=전라북도 임실군|임실
597=전라북도 장수군|무주
561=전라북도 전주시 덕진구|전주
560=전라북도 전주시 완산구|전주
580=전라북도 정읍시|임실
567=전라북도 진안군|무주
697=제주특별자치도 서귀포시|서귀포
699=제주특별자치도 서귀포시|서귀포
697=제주특별자치도 서귀포시|서귀포
699=제주특별자치도 서귀포시|성산포
697=제주특별자치도 서귀포시|서귀포
699=제주특별자치도 서귀포시|서귀포
697=제주특별자치도 서귀포시|서귀포
699=제주특별자치도 서귀포시|서귀포
697=제주특별자치도 서귀포시|서귀포
690=제주특별자치도 제주시|제주
695=제주특별자치도 제주시|제주
690=제주특별자치도 제주시|제주
695=제주특별자치도 제주시|제주
690=제주특별자치도 제주시|제주
695=제주특별자치도 제주시|제주
690=제주특별자치도 제주시|제주
695=제주특별자치도 제주시|제주
690=제주특별자치도 제주시|제주
321=충청남도 계룡시|논산
314=충청남도 공주시|공주시
312=충청남도 금산군|논산
320=충청남도 논산시|논산
343=충청남도 당진시|아산
355=충청남도 보령시|보령
323=충청남도 부여군|논산
356=충청남도 서산시|보령
325=충청남도 서천군|보령
336=충청남도 아산시|아산
340=충청남도 예산군|아산
330=충청남도 천안시 동남구|천안
331=충청남도 천안시 서북구|천안
345=충청남도 청양군|공주
357=충청남도 태안군|보령
350=충청남도 홍성군|보령
367=충청북도 괴산군|진천
395=충청북도 단양군|단양
376=충청북도 보은군|청주
370=충청북도 영동군|영동
373=충청북도 옥천군|영동
369=충청북도 음성군|진천
390=충청북도 제천시|충주
368=충청북도 증평군|진천
365=충청북도 진천군|진천
363=충청북도 청원군|청주
360=충청북도 청주시 상당구|청주
361=충청북도 청주시 흥덕구|청주
380=충청북도 충주시|충주
399=세종특별자치시|세종
427=경기도 과천시|과천
